Time		Throughput
2.963		1.6874789065136686
8.889		1.0124873439082012
14.815		1.181235234559568
20.741		2.0249746878164023
26.667		2.0249746878164023
32.593		2.0249746878164023
38.519		2.8687141410732364
44.445		2.8687141410732364
50.371		3.0374620317246035
56.297		3.374957813027337
62.223		3.8812014849814376
68.149		4.218697266284171
74.075		3.8812014849814376
80.001		5.231184610192373
85.927		4.893688828889639
91.853		5.062436719541005
97.779		5.568680391495106
103.705		6.074924063449207
109.631		6.074924063449207
115.557		6.243671954100574
121.483		7.256159298008775
127.409		6.749915626054674
133.335		7.087411407357408
139.261		8.09989875126561
145.187		7.931150860614243
151.113		7.931150860614243
157.039		8.774890313871076
162.965		8.943638204522443
168.891		8.943638204522443
174.817		9.618629767127912
180.743		10.12487343908201
186.669		9.956125548430645
192.595		9.956125548430645
198.521		10.968612892338847
204.447		11.137360782990212
210.373		10.968612892338847
216.299		11.137360782990212
222.225		12.149848126898414
228.151		11.81235234559568
234.077		12.656091798852515
240.003		13.162335470806616
245.929		12.993587580155248
251.855		12.82483968950388
257.781		12.993587580155248
263.707		14.51231859601755
269.633		13.837327033412082
275.559		14.849814377320284
281.485		15.187310158623017
287.411		15.01856226797165
293.337		15.01856226797165
299.263		15.52480593992575
305.189		16.537293283833954
311.115		16.03104961187985
317.041		17.043536955788053
322.967		17.043536955788053
328.893		16.706041174485318
334.819		17.043536955788053
340.745		18.224772190347622
346.671		18.056024299696254
352.597		18.393520080998986
358.523		19.068511643604456
364.449		18.89976375295309
370.375		19.068511643604456
376.301		18.73101586230172
382.227		21.093486331420856
388.153		19.91225109686129
394.079		21.262234222072223
400.005		21.262234222072223
405.931		19.237259534255823
411.857		21.937225784677693
417.783		21.599730003374958
423.709		23.455956800539994
429.635		21.599730003374958
435.561		22.780965237934527
441.487		21.599730003374958
447.413		24.805939925750927
453.339		22.61221734728316
459.265		24.299696253796828
465.191		24.574755315558555
471.117		25.887276409044887
477.043		25.755990550118124
482.969		26.155923050961864
488.895		24.468444144448195
494.821		25.81842726965913
500.747		26.493418832264595
506.673		25.480931488356397
512.599		24.693553830577118
521.488		25.82146473169085
530.377		25.843401957475532
536.303		24.0121498481269
542.229		26.180897738778267
550.212		26.323428202034430
558.733		26.180897738778267
566.432		26.0213912391312
573.322		24.334143429329299
580.333		26.180897738778267
586.333		26.180897738778267
594.333		26.180897738778267
600.004		26.180897738778267